b4 Fluffy_Fight
e1 Cass'_Run
e4 Boss_Cass_Fight
e4_ty Boss_Cass_Fight
a4_intro Cutscene
a4_end Cutscene
b4_intro Cutscene
b4_end Cutscene
c4_intro Cutscene
c4_outro Cutscene
e1_12 Cutscene
e1_13 Cutscene
e1_14 Cutscene
cassdefeated Cutscene
csp1_01 Cutscene
csp1_02 Cutscene
csp1_04 Cutscene
csp1_05 Cutscene
csp1_07 Cutscene
csp1_08 Cutscene
csp1_09 Cutscene
csp1_10 Cutscene
csp1_11 Cutscene
m16_cs Cutscene
m59_cs Cutscene
z3_cs01 Cutscene
z3_cs20 Cutscene
z3_cs22 Cutscene
z3_cs23 Cutscene
z3_cs27 Cutscene
z3_cs28 Cutscene
c3_cs99 Cutscene
m2 Explosive_Cargo
m13 Croc_Stock_Pile
m14 Fire_Fight
m28 Sheep_Dip
m33 Dennis_Freeway
m40 Sea_Lab
m64 Deep_Sea_Scare
r1 Refinery_Run_Race
r1_ll Refinery_Run_Race
r2 Lava_Falls_Race
r2_ll Lava_Falls_Race
r3 Hearty_Beach_Race
r3_ll Hearty_Beach_Race
r4 Parrotbeard_Cove_Race
r4_ll Parrotbeard_Cove_Race
r6 Never_Never_Road_Race
r6_ll Never_Never_Road_Race
r7 Outback_Dash_Race
r7_ll Outback_Dash_Race
r9 Turbo_Track_Race
r9_ll Turbo_Track_Race
mainmenu Main_Menu
kartmenu Kart_Racing_Menu
mopoke Madame_Mopoke's_Shop
shop1 Trader_Bob's
shop2 Rang_Shop
shop3 Sly's_Shack
b36 Stone_Beetle
garage1 Race_Garage
race_win Race_Results
a1_cavern Outback_Oasis_Cave
a4 Patchy_Fight
a5 Faire_Dinkuum
cr1 Credits
c4 Buster_Fight
m1 Metal_Menace
m4 Haunted_House
m6 Ninjas_1
m12 Frill_Neck_Forest
m20 Ninjas_2
m46 Temple_of_Carnook
m47 Crocodile_Chaos
m59 Ninjas_3
m88 Training_Area
z1 Bush_Rescue_HQ
z2 Burramudgee_Town
beach Wobbygon_Bay
cave Burramudgee_Cemetary
sewer Burramudgee_Sewers
a1 Outback_Oasis
a2 Never_Never
a3 Wetlands
b3 Sulphur_Rocks
m16 Truck_Tragedy
m37 Mount_Boom
m38 Bush_Fire
m39 Truck_Stop
m52 Oil_Rig
m87 Training_Area
z3 Intro_Mission
z3_2 Intro_Mission
z3_4 Intro_Mission
z3_5 Intro_Mission
z3_6 Intro_Mission
m41 Delivery_Mission
m42 Delivery_Mission
m49 Delivery_Mission
z4 Southern_Rivers
z4_4b Driving
